Tempo de execução (s),Memória utilizada (MB),Uso médio de CPU (%),Memória GPU utilizada (MB),Uso médio de GPU (%),Modelo,Fase,dataset
497.8620636463165,2644.87890625,8.1,1501.0,0.0,uncond_diffusion_unet1d,Treinamento,UCI_None
192.304584980011,47.390625,3.3,68.0,0.0,uncond_diffusion_unet1d,Geração,UCI_None
468.94120693206787,6.12109375,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,UCI_None
192.36444115638733,-46.05859375,3.2,0.0,0.0,cond_diffusion_unet1d,Geração,UCI_None
160.36904501914978,838.12890625,3.2,536.0,0.0,Doppelgangerger,Treinamento,UCI_None
0.9680542945861816,27.5,3.1,0.0,0.0,Doppelgangerger,Geração,UCI_None
2218.3106117248535,6801.7578125,2.4,22284.0,0.0,timeganpt,Treinamento,UCI_None
181.58112955093384,150.25,3.6,0.0,0.0,timeganpt,Geração,UCI_None
7529.648241758347,110.859375,3.3,68.0,0.0,uncond_diffusion_unet1d,Treinamento,dataset_combination_None
221.41444993019104,-81.9609375,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,dataset_combination_None
7619.700682640076,70.796875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,dataset_combination_None
220.6961007118225,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,dataset_combination_None
2611.429340362549,1.1953125,3.2,0.0,0.0,Doppelgangerger,Treinamento,dataset_combination_None
1.583064317703247,0.0,3.2,0.0,0.0,Doppelgangerger,Geração,dataset_combination_None
2641.0243248939514,5787.54296875,5.4,6.0,0.0,timeganpt,Treinamento,dataset_combination_None
218.0633475780487,17.2890625,3.6,0.0,0.0,timeganpt,Geração,dataset_combination_None
2061.088720560074,79.43359375,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_thigh_None
220.55151343345642,-77.30859375,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_thigh_None
2056.868941783905,36.78515625,3.2,0.0,0.0,cond_diffusion_unet1d,Treinamento,RealWorld_thigh_None
221.25123739242554,0.12109375,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_thigh_None
714.1232044696808,0.11328125,3.3,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_thigh_None
2.046198844909668,0.390625,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_thigh_None
2672.2708587646484,6251.32421875,2.1,6.0,0.0,timeganpt,Treinamento,RealWorld_thigh_None
217.7950563430786,80.53125,3.6,0.0,0.0,timeganpt,Geração,RealWorld_thigh_None
2054.341211080551,55.328125,3.3,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_upperarm_None
219.72163820266724,-98.87890625,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_upperarm_None
2018.7662298679352,55.40625,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,RealWorld_upperarm_None
222.4712781906128,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_upperarm_None
687.6430237293243,14.1015625,3.2,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_upperarm_None
2.560631275177002,0.0,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_upperarm_None
2662.604899406433,6273.62109375,6.3,8.0,0.0,timeganpt,Treinamento,RealWorld_upperarm_None
219.68016266822815,89.515625,3.6,0.0,0.0,timeganpt,Geração,RealWorld_upperarm_None
2001.9210848808289,72.75,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_waist_None
221.603351354599,-98.87890625,3.2,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_waist_None
2035.0455753803253,34.62109375,3.3,0.0,0.5,cond_diffusion_unet1d,Treinamento,RealWorld_waist_None
221.96935367584229,0.1015625,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_waist_None
710.81365442276,-0.25,3.3,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_waist_None
2.996767044067383,0.0234375,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_waist_None
2669.89328622818,6256.68359375,2.7,6.0,0.0,timeganpt,Treinamento,RealWorld_waist_None
222.14846324920654,84.25390625,3.6,0.0,0.0,timeganpt,Geração,RealWorld_waist_None
1776.96298122406,28.8203125,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,WISDM_None
194.1522617340088,-89.1640625,3.3,84.0,0.0,uncond_diffusion_unet1d,Geração,WISDM_None
1752.250990152359,24.3671875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,WISDM_None
194.16764044761658,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,WISDM_None
606.1364009380341,2.0546875,3.3,0.0,0.0,Doppelgangerger,Treinamento,WISDM_None
3.5015368461608887,0.0625,3.2,0.0,0.0,Doppelgangerger,Geração,WISDM_None
1774.6151859760284,3768.5859375,5.3,6.0,0.0,timeganpt,Treinamento,WISDM_None
148.57998824119568,41.734375,3.6,0.0,0.0,timeganpt,Geração,WISDM_None
309.63499212265015,47.73046875,3.5,0.0,0.0,uncond_diffusion_unet1d,Treinamento,KuHar_None
221.28336310386658,-59.546875,3.2,0.0,0.0,uncond_diffusion_unet1d,Geração,KuHar_None
291.02375841140747,0.921875,3.5,0.0,0.0,cond_diffusion_unet1d,Treinamento,KuHar_None
222.86586594581604,0.21875,3.2,0.0,0.0,cond_diffusion_unet1d,Geração,KuHar_None
100.86295247077942,0.01171875,3.3,0.0,0.0,Doppelgangerger,Treinamento,KuHar_None
3.795055866241455,0.00390625,3.0,0.0,0.0,Doppelgangerger,Geração,KuHar_None
2678.5134584903717,6228.80078125,3.0,6.0,0.0,timeganpt,Treinamento,KuHar_None
221.07044887542725,166.77734375,3.6,0.0,0.0,timeganpt,Geração,KuHar_None
769.8379209041595,45.421875,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,MotionSense_None
222.81977653503418,-98.83203125,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,MotionSense_None
720.1603908538818,0.49609375,3.2,0.0,0.0,cond_diffusion_unet1d,Treinamento,MotionSense_None
224.20049571990967,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,MotionSense_None
501.54408526420593,2634.20703125,6.0,1501.0,0.0,uncond_diffusion_unet1d,Treinamento,UCI_fft
191.32476353645325,40.859375,3.3,68.0,0.0,uncond_diffusion_unet1d,Geração,UCI_fft
476.66842579841614,5.796875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,UCI_fft
191.4629843235016,-39.37890625,3.2,0.0,0.0,cond_diffusion_unet1d,Geração,UCI_fft
154.92590522766113,804.90234375,3.3,536.0,0.0,Doppelgangerger,Treinamento,UCI_fft
0.9599804878234863,27.4375,3.2,0.0,0.0,Doppelgangerger,Geração,UCI_fft
2187.091400384903,6818.203125,2.2,22284.0,0.0,timeganpt,Treinamento,UCI_fft
183.02273631095886,152.2265625,3.6,0.0,0.0,timeganpt,Geração,UCI_fft
7459.1939516067505,110.703125,3.2,68.0,0.0,uncond_diffusion_unet1d,Treinamento,dataset_combination_fft
218.57844877243042,-82.26953125,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,dataset_combination_fft
7496.233934402466,70.88671875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,dataset_combination_fft
220.51088905334473,0.28125,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,dataset_combination_fft
2553.9040870666504,1.3125,3.3,0.0,0.0,Doppelgangerger,Treinamento,dataset_combination_fft
1.5757298469543457,0.0078125,3.2,0.0,0.0,Doppelgangerger,Geração,dataset_combination_fft
2599.4577825069427,5770.46484375,4.4,6.0,0.0,timeganpt,Treinamento,dataset_combination_fft
218.75240063667297,13.91796875,3.6,0.0,0.0,timeganpt,Geração,dataset_combination_fft
2006.419667482376,102.3125,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_thigh_fft
219.71834063529968,-98.87890625,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_thigh_fft
2010.1284580230713,36.7421875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,RealWorld_thigh_fft
220.29336285591125,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_thigh_fft
697.6918568611145,14.37890625,3.2,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_thigh_fft
2.060938835144043,0.0,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_thigh_fft
2626.6161313056946,6254.67578125,2.2,6.0,0.5,timeganpt,Treinamento,RealWorld_thigh_fft
217.1048789024353,76.08984375,3.6,0.0,0.0,timeganpt,Geração,RealWorld_thigh_fft
2020.9461863040924,80.64453125,3.5,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_upperarm_fft
220.30889129638672,-98.84375,3.2,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_upperarm_fft
1976.521695613861,28.22265625,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,RealWorld_upperarm_fft
220.30065989494324,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_upperarm_fft
673.0767579078674,27.76953125,3.3,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_upperarm_fft
2.57218599319458,0.03125,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_upperarm_fft
2618.7861251831055,6226.52734375,2.0,8.0,0.0,timeganpt,Treinamento,RealWorld_upperarm_fft
217.26598000526428,92.88671875,3.6,0.0,0.0,timeganpt,Geração,RealWorld_upperarm_fft
2033.3907399177551,71.859375,3.5,0.0,0.0,uncond_diffusion_unet1d,Treinamento,RealWorld_waist_fft
221.17624878883362,-96.8671875,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,RealWorld_waist_fft
2034.8251059055328,34.75,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,RealWorld_waist_fft
222.34149742126465,1.34765625,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,RealWorld_waist_fft
701.0213944911957,-0.078125,3.3,0.0,0.0,Doppelgangerger,Treinamento,RealWorld_waist_fft
3.1150929927825928,0.09375,3.2,0.0,0.0,Doppelgangerger,Geração,RealWorld_waist_fft
2631.7968368530273,6301.15234375,2.8,6.0,0.0,timeganpt,Treinamento,RealWorld_waist_fft
217.45814895629883,79.71484375,3.6,0.0,0.5,timeganpt,Geração,RealWorld_waist_fft
1755.5293099880219,25.19140625,3.3,0.0,0.0,uncond_diffusion_unet1d,Treinamento,WISDM_fft
194.341876745224,-97.953125,3.3,84.0,0.0,uncond_diffusion_unet1d,Geração,WISDM_fft
1751.0916340351105,24.81640625,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,WISDM_fft
194.4101104736328,0.00390625,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,WISDM_fft
590.5032341480255,1.53515625,3.2,0.0,0.0,Doppelgangerger,Treinamento,WISDM_fft
3.589921474456787,0.03125,3.2,0.0,0.0,Doppelgangerger,Geração,WISDM_fft
1743.2327854633331,3770.47265625,2.2,6.0,0.0,timeganpt,Treinamento,WISDM_fft
146.87944960594177,62.14453125,3.6,0.0,0.0,timeganpt,Geração,WISDM_fft
308.1659688949585,41.99609375,3.4,0.0,0.0,uncond_diffusion_unet1d,Treinamento,KuHar_fft
221.3796350955963,-58.67578125,3.3,0.0,0.0,uncond_diffusion_unet1d,Geração,KuHar_fft
283.37792468070984,0.671875,3.3,0.0,0.0,cond_diffusion_unet1d,Treinamento,KuHar_fft
220.04115962982178,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,KuHar_fft
97.3886604309082,-0.23046875,3.2,0.0,0.0,Doppelgangerger,Treinamento,KuHar_fft
3.864609718322754,0.0703125,3.3,0.0,0.5,Doppelgangerger,Geração,KuHar_fft
2630.6953394412994,6231.79296875,2.1,6.0,0.0,timeganpt,Treinamento,KuHar_fft
216.56724286079407,166.53125,3.6,0.0,0.0,timeganpt,Geração,KuHar_fft
760.8040153980255,48.05078125,3.5,0.0,0.0,uncond_diffusion_unet1d,Treinamento,MotionSense_fft
222.79635071754456,-82.39453125,3.2,0.0,0.0,uncond_diffusion_unet1d,Geração,MotionSense_fft
711.9242167472839,0.578125,3.4,0.0,0.0,cond_diffusion_unet1d,Treinamento,MotionSense_fft
222.46666526794434,0.0,3.3,0.0,0.0,cond_diffusion_unet1d,Geração,MotionSense_fft
247.3524112701416,0.0390625,3.3,0.0,0.0,Doppelgangerger,Treinamento,MotionSense_fft
4.3432183265686035,0.0703125,3.3,0.0,0.0,Doppelgangerger,Geração,MotionSense_fft
2635.2758951187134,6317.57421875,2.2,6.0,0.0,timeganpt,Treinamento,MotionSense_fft
218.8715362548828,125.58984375,3.6,0.0,0.0,timeganpt,Geração,MotionSense_fft
