dataset_type,accuracy,precision,recall,f1-score,dataset,classifier,generator
synthetic,0.4057971014492754,0.5316455696202531,0.30434782608695654,0.3870967741935484,UCI_None,SVM,timeganpt_synth
mixed,0.4492753623188406,0.5119047619047619,0.3115942028985507,0.38738738738738737,UCI_None,SVM,timeganpt_synth
synthetic_comb,0.3130434782608696,0.4782608695652174,0.9565217391304348,0.6376811594202898,UCI_None,Random Forest,timeganpt_synth
mixed_comb,0.863768115942029,0.8040540540540541,0.8623188405797102,0.8321678321678322,UCI_None,Random Forest,timeganpt_synth
synthetic_comb,0.3681159420289855,0.48878923766816146,0.7898550724637681,0.6038781163434903,UCI_None,SVM,timeganpt_synth
mixed_comb,0.4,0.5042372881355932,0.8623188405797102,0.6363636363636364,UCI_None,SVM,timeganpt_synth
real,0.9,0.8145695364238411,0.8913043478260869,0.8512110726643599,UCI_None,Random Forest,Doppelgangerger_synth
synthetic,0.43333333333333335,0.0,0.0,0.0,UCI_None,Random Forest,Doppelgangerger_synth
mixed,0.8333333333333334,0.7880794701986755,0.8623188405797102,0.8235294117647058,UCI_None,Random Forest,Doppelgangerger_synth
real,0.7855072463768116,0.7857142857142857,0.07971014492753623,0.14473684210526316,UCI_None,SVM,Doppelgangerger_synth
synthetic,0.48840579710144927,0.0,0.0,0.0,UCI_None,SVM,Doppelgangerger_synth
mixed,0.7695652173913043,0.8181818181818182,0.06521739130434782,0.12080536912751678,UCI_None,SVM,Doppelgangerger_synth
synthetic_comb,0.09130434782608696,0.0,0.0,0.0,UCI_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.8855072463768116,0.8137931034482758,0.855072463768116,0.833922261484099,UCI_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.2,0.0,0.0,0.0,UCI_None,SVM,Doppelgangerger_synth
mixed_comb,0.6681159420289855,0.0,0.0,0.0,UCI_None,SVM,Doppelgangerger_synth
real,0.8855072463768116,0.8013698630136986,0.8478260869565217,0.823943661971831,UCI_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.6623188405797101,0.7065217391304348,0.47101449275362317,0.5652173913043478,UCI_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.8608695652173913,0.8518518518518519,0.6666666666666666,0.7479674796747967,UCI_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.7855072463768116,0.7857142857142857,0.07971014492753623,0.14473684210526316,UCI_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.4289855072463768,0.5454545454545454,0.43478260869565216,0.4838709677419355,UCI_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.7608695652173914,0.5617977528089888,0.36231884057971014,0.44052863436123346,UCI_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.5144927536231884,0.8518518518518519,0.16666666666666666,0.2787878787878788,UCI_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.8347826086956521,0.8319327731092437,0.717391304347826,0.7704280155642024,UCI_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.3521739130434783,0.5,1.0,0.6666666666666666,UCI_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.7565217391304347,0.5833333333333334,0.6086956521739131,0.5957446808510638,UCI_None,SVM,uncond_diffusion_unet1d_synth
real,0.7080745341614907,0.4805194805194805,0.6128364389233955,0.5386715195632393,RealWorld_upperarm_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.4665286404416839,0.46236559139784944,0.2670807453416149,0.33858267716535434,RealWorld_upperarm_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.7022084195997239,0.48841059602649006,0.6107660455486542,0.5427782888684453,RealWorld_upperarm_None,Random Forest,cond_diffusion_unet1d_synth
real,0.6732229123533471,0.23529411764705882,0.008281573498964804,0.016,RealWorld_upperarm_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.35162180814354727,0.48863636363636365,0.08902691511387163,0.15061295971978983,RealWorld_upperarm_None,SVM,cond_diffusion_unet1d_synth
mixed,0.6680469289164941,0.45,0.018633540372670808,0.03578528827037773,RealWorld_upperarm_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.43478260869565216,0.5049019607843137,0.21325051759834368,0.29985443959243085,RealWorld_upperarm_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.6773636991028296,0.5177865612648221,0.5424430641821946,0.5298281092012134,RealWorld_upperarm_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.48481711525189786,0.44765342960288806,0.2567287784679089,0.3263157894736842,RealWorld_upperarm_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.6487232574189096,0.2,0.010351966873706004,0.01968503937007874,RealWorld_upperarm_None,SVM,cond_diffusion_unet1d_synth
real,0.7018633540372671,0.4737704918032787,0.598343685300207,0.5288197621225984,RealWorld_upperarm_None,Random Forest,timeganpt_synth
synthetic,0.20634920634920634,0.0,0.0,0.0,RealWorld_upperarm_None,Random Forest,timeganpt_synth
mixed,0.6497584541062802,0.492436974789916,0.6066252587991718,0.5435992578849722,RealWorld_upperarm_None,Random Forest,timeganpt_synth
real,0.6732229123533471,0.23529411764705882,0.008281573498964804,0.016,RealWorld_upperarm_None,SVM,timeganpt_synth
synthetic,0.5093167701863354,0.47342995169082125,0.4057971014492754,0.43701226309921964,RealWorld_upperarm_None,SVM,timeganpt_synth
mixed,0.647688060731539,0.48148148148148145,0.16149068322981366,0.24186046511627907,RealWorld_upperarm_None,SVM,timeganpt_synth
synthetic_comb,0.279848171152519,0.42645074224021595,0.6542443064182195,0.5163398692810458,RealWorld_upperarm_None,Random Forest,timeganpt_synth
mixed_comb,0.6863354037267081,0.47811993517017826,0.6107660455486542,0.5363636363636364,RealWorld_upperarm_None,Random Forest,timeganpt_synth
synthetic_comb,0.2750172532781228,0.44574780058651026,0.629399585921325,0.5218884120171674,RealWorld_upperarm_None,SVM,timeganpt_synth
mixed_comb,0.5986887508626639,0.4461009174311927,0.8053830227743272,0.574169741697417,RealWorld_upperarm_None,SVM,timeganpt_synth
real,0.7101449275362319,0.48355263157894735,0.6086956521739131,0.538955087076077,RealWorld_upperarm_None,Random Forest,Doppelgangerger_synth
synthetic,0.27294685990338163,0.0,0.0,0.0,RealWorld_upperarm_None,Random Forest,Doppelgangerger_synth
mixed,0.6997929606625258,0.4819078947368421,0.6066252587991718,0.537121906507791,RealWorld_upperarm_None,Random Forest,Doppelgangerger_synth
real,0.6732229123533471,0.23529411764705882,0.008281573498964804,0.016,RealWorld_upperarm_None,SVM,Doppelgangerger_synth
synthetic,0.341959972394755,0.0,0.0,0.0,RealWorld_upperarm_None,SVM,Doppelgangerger_synth
mixed,0.6649413388543823,0.26666666666666666,0.016563146997929608,0.031189083820662766,RealWorld_upperarm_None,SVM,Doppelgangerger_synth
synthetic_comb,0.22291235334713597,0.0,0.0,0.0,RealWorld_upperarm_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.7056590752242926,0.4829821717990275,0.6169772256728778,0.5418181818181819,RealWorld_upperarm_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.16666666666666666,0.0,0.0,0.0,RealWorld_upperarm_None,SVM,Doppelgangerger_synth
mixed_comb,0.6387163561076604,0.125,0.002070393374741201,0.004073319755600814,RealWorld_upperarm_None,SVM,Doppelgangerger_synth
real,0.7091097308488613,0.4771986970684039,0.6066252587991718,0.5341841385597083,RealWorld_upperarm_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.5289855072463768,0.48013245033112584,0.3002070393374741,0.36942675159235666,RealWorld_upperarm_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.7004830917874396,0.4809917355371901,0.6024844720496895,0.5349264705882353,RealWorld_upperarm_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.6732229123533471,0.23529411764705882,0.008281573498964804,0.016,RealWorld_upperarm_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.35196687370600416,0.5,0.23395445134575568,0.31875881523272215,RealWorld_upperarm_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.6728778467908902,0.36470588235294116,0.06418219461697723,0.10915492957746478,RealWorld_upperarm_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.4527260179434092,0.4895397489539749,0.2422360248447205,0.32409972299168976,RealWorld_upperarm_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.6828847481021394,0.4868651488616462,0.5755693581780539,0.5275142314990512,RealWorld_upperarm_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.3450655624568668,0.4474708171206226,0.9523809523809523,0.6088682991396426,RealWorld_upperarm_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.6563146997929606,0.3076923076923077,0.033126293995859216,0.059813084112149535,RealWorld_upperarm_None,SVM,uncond_diffusion_unet1d_synth
real,0.8494623655913979,0.6666666666666666,0.8632872503840245,0.7523427041499331,WISDM_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.6524577572964669,0.7058823529411765,0.31336405529953915,0.4340425531914894,WISDM_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.8517665130568356,0.688504326328801,0.8556067588325653,0.763013698630137,WISDM_None,Random Forest,cond_diffusion_unet1d_synth
real,0.7461597542242704,0.48484848484848486,0.02457757296466974,0.04678362573099415,WISDM_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.5399385560675883,0.48191593352883677,0.7572964669738863,0.5890083632019116,WISDM_None,SVM,cond_diffusion_unet1d_synth
mixed,0.7453917050691244,0.5,0.006144393241167435,0.012139605462822459,WISDM_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.5610599078341014,0.628099173553719,0.23348694316436253,0.3404255319148936,WISDM_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.8467741935483871,0.6921086675291074,0.8218125960061444,0.7514044943820225,WISDM_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.521505376344086,0.6491228070175439,0.17050691244239632,0.27007299270072993,WISDM_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.7104454685099847,0.3,0.004608294930875576,0.009077155824508321,WISDM_None,SVM,cond_diffusion_unet1d_synth
real,0.8513824884792627,0.6722488038277512,0.8632872503840245,0.7558843308675185,WISDM_None,Random Forest,timeganpt_synth
synthetic,0.29339477726574503,0.3667711598746082,0.5391705069124424,0.43656716417910446,WISDM_None,Random Forest,timeganpt_synth
mixed,0.8529185867895546,0.6782296650717703,0.8709677419354839,0.7626092804303968,WISDM_None,Random Forest,timeganpt_synth
real,0.7461597542242704,0.48484848484848486,0.02457757296466974,0.04678362573099415,WISDM_None,SVM,timeganpt_synth
synthetic,0.4592933947772657,0.4526699029126214,0.5729646697388633,0.5057627118644068,WISDM_None,SVM,timeganpt_synth
mixed,0.5733486943164362,0.45885286783042395,0.565284178187404,0.5065381968341363,WISDM_None,SVM,timeganpt_synth
synthetic_comb,0.20084485407066052,0.47087857847976305,0.7327188940092166,0.5733173076923077,WISDM_None,Random Forest,timeganpt_synth
mixed_comb,0.8540706605222734,0.6729191090269636,0.8817204301075269,0.7632978723404256,WISDM_None,Random Forest,timeganpt_synth
synthetic_comb,0.1728110599078341,0.45689655172413796,0.6513056835637481,0.5370487650411653,WISDM_None,SVM,timeganpt_synth
mixed_comb,0.5622119815668203,0.48419150858175247,0.8233486943164362,0.6097838452787259,WISDM_None,SVM,timeganpt_synth
real,0.8540706605222734,0.6771463119709794,0.8602150537634409,0.7577807848443843,WISDM_None,Random Forest,Doppelgangerger_synth
synthetic,0.173963133640553,0.0,0.0,0.0,WISDM_None,Random Forest,Doppelgangerger_synth
mixed,0.8536866359447005,0.6754491017964072,0.8663594470046083,0.7590847913862718,WISDM_None,Random Forest,Doppelgangerger_synth
real,0.7461597542242704,0.48484848484848486,0.02457757296466974,0.04678362573099415,WISDM_None,SVM,Doppelgangerger_synth
synthetic,0.2576804915514593,0.0,0.0,0.0,WISDM_None,SVM,Doppelgangerger_synth
mixed,0.7442396313364056,0.25,0.0015360983102918587,0.0030534351145038168,WISDM_None,SVM,Doppelgangerger_synth
synthetic_comb,0.3099078341013825,0.0,0.0,0.0,WISDM_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.8563748079877113,0.684596577017115,0.8602150537634409,0.762423417290674,WISDM_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.00038402457757296467,0.0,0.0,0.0,WISDM_None,SVM,Doppelgangerger_synth
mixed_comb,0.7446236559139785,0.0,0.0,0.0,WISDM_None,SVM,Doppelgangerger_synth
real,0.859062980030722,0.6845878136200717,0.880184331797235,0.7701612903225806,WISDM_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.6597542242703534,0.7044444444444444,0.4869431643625192,0.5758401453224341,WISDM_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.8494623655913979,0.6810551558752997,0.8725038402457758,0.764983164983165,WISDM_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.7461597542242704,0.48484848484848486,0.02457757296466974,0.04678362573099415,WISDM_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.5568356374807988,0.4964221824686941,0.8525345622119815,0.6274731486715659,WISDM_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.728494623655914,0.47804878048780486,0.7526881720430108,0.5847255369928401,WISDM_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.6862519201228878,0.5954198473282443,0.23963133640552994,0.3417305585980285,WISDM_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.8544546850998463,0.6716937354988399,0.8894009216589862,0.7653668208856577,WISDM_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.5476190476190477,0.5011914217633042,0.9692780337941628,0.6607329842931937,WISDM_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.7423195084485407,0.7222222222222222,0.019969278033794162,0.03886397608370702,WISDM_None,SVM,uncond_diffusion_unet1d_synth
real,0.7986111111111112,0.7916666666666666,0.7916666666666666,0.7916666666666666,KuHar_None,Random Forest,cond_diffusion_unet1d_synth
synthetic,0.5625,0.7727272727272727,0.7083333333333334,0.7391304347826086,KuHar_None,Random Forest,cond_diffusion_unet1d_synth
mixed,0.6805555555555556,0.8,0.8333333333333334,0.8163265306122449,KuHar_None,Random Forest,cond_diffusion_unet1d_synth
real,0.6111111111111112,0.45454545454545453,0.4166666666666667,0.43478260869565216,KuHar_None,SVM,cond_diffusion_unet1d_synth
synthetic,0.3680555555555556,0.5454545454545454,0.5,0.5217391304347826,KuHar_None,SVM,cond_diffusion_unet1d_synth
mixed,0.5,0.5217391304347826,0.5,0.5106382978723404,KuHar_None,SVM,cond_diffusion_unet1d_synth
synthetic_comb,0.5347222222222222,0.0,0.0,0.0,KuHar_None,Random Forest,cond_diffusion_unet1d_synth
mixed_comb,0.6875,0.9090909090909091,0.8333333333333334,0.8695652173913043,KuHar_None,Random Forest,cond_diffusion_unet1d_synth
synthetic_comb,0.4375,0.0,0.0,0.0,KuHar_None,SVM,cond_diffusion_unet1d_synth
mixed_comb,0.4861111111111111,0.0,0.0,0.0,KuHar_None,SVM,cond_diffusion_unet1d_synth
real,0.7986111111111112,0.7916666666666666,0.7916666666666666,0.7916666666666666,KuHar_None,Random Forest,timeganpt_synth
synthetic,0.2916666666666667,0.0,0.0,0.0,KuHar_None,Random Forest,timeganpt_synth
mixed,0.6666666666666666,0.8260869565217391,0.7916666666666666,0.8085106382978723,KuHar_None,Random Forest,timeganpt_synth
real,0.6111111111111112,0.45454545454545453,0.4166666666666667,0.43478260869565216,KuHar_None,SVM,timeganpt_synth
synthetic,0.4861111111111111,0.4666666666666667,0.5833333333333334,0.5185185185185185,KuHar_None,SVM,timeganpt_synth
mixed,0.6180555555555556,0.5,0.041666666666666664,0.07692307692307693,KuHar_None,SVM,timeganpt_synth
synthetic_comb,0.3055555555555556,0.5,1.0,0.6666666666666666,KuHar_None,Random Forest,timeganpt_synth
mixed_comb,0.8402777777777778,0.8695652173913043,0.8333333333333334,0.851063829787234,KuHar_None,Random Forest,timeganpt_synth
synthetic_comb,0.3541666666666667,0.5483870967741935,0.7083333333333334,0.6181818181818182,KuHar_None,SVM,timeganpt_synth
mixed_comb,0.3541666666666667,0.5483870967741935,0.7083333333333334,0.6181818181818182,KuHar_None,SVM,timeganpt_synth
real,0.8263888888888888,0.8636363636363636,0.7916666666666666,0.8260869565217391,KuHar_None,Random Forest,Doppelgangerger_synth
synthetic,0.1388888888888889,0.0,0.0,0.0,KuHar_None,Random Forest,Doppelgangerger_synth
mixed,0.8402777777777778,0.8695652173913043,0.8333333333333334,0.851063829787234,KuHar_None,Random Forest,Doppelgangerger_synth
real,0.6111111111111112,0.45454545454545453,0.4166666666666667,0.43478260869565216,KuHar_None,SVM,Doppelgangerger_synth
synthetic,0.16666666666666666,0.0,0.0,0.0,KuHar_None,SVM,Doppelgangerger_synth
mixed,0.6041666666666666,0.0,0.0,0.0,KuHar_None,SVM,Doppelgangerger_synth
synthetic_comb,0.22916666666666666,0.0,0.0,0.0,KuHar_None,Random Forest,Doppelgangerger_synth
mixed_comb,0.8194444444444444,0.8260869565217391,0.7916666666666666,0.8085106382978723,KuHar_None,Random Forest,Doppelgangerger_synth
synthetic_comb,0.16666666666666666,0.0,0.0,0.0,KuHar_None,SVM,Doppelgangerger_synth
mixed_comb,0.6527777777777778,0.0,0.0,0.0,KuHar_None,SVM,Doppelgangerger_synth
real,0.8263888888888888,0.8260869565217391,0.7916666666666666,0.8085106382978723,KuHar_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic,0.5486111111111112,0.8,0.6666666666666666,0.7272727272727273,KuHar_None,Random Forest,uncond_diffusion_unet1d_synth
mixed,0.6597222222222222,0.8,0.8333333333333334,0.8163265306122449,KuHar_None,Random Forest,uncond_diffusion_unet1d_synth
real,0.6111111111111112,0.45454545454545453,0.4166666666666667,0.43478260869565216,KuHar_None,SVM,uncond_diffusion_unet1d_synth
synthetic,0.3958333333333333,0.5909090909090909,0.5416666666666666,0.5652173913043478,KuHar_None,SVM,uncond_diffusion_unet1d_synth
mixed,0.5069444444444444,0.4878048780487805,0.8333333333333334,0.6153846153846154,KuHar_None,SVM,uncond_diffusion_unet1d_synth
synthetic_comb,0.4444444444444444,0.0,0.0,0.0,KuHar_None,Random Forest,uncond_diffusion_unet1d_synth
mixed_comb,0.6458333333333334,0.8947368421052632,0.7083333333333334,0.7906976744186046,KuHar_None,Random Forest,uncond_diffusion_unet1d_synth
synthetic_comb,0.4652777777777778,0.5,1.0,0.6666666666666666,KuHar_None,SVM,uncond_diffusion_unet1d_synth
mixed_comb,0.5347222222222222,0.5,1.0,0.6666666666666666,KuHar_None,SVM,uncond_diffusion_unet1d_synth
